id,text,url,death_date,name,age,nationality,claim,cause
0,"Barbara Atkinson, 88, British actress (Z-Cars).[1]",https://en.wikipedia.org/wiki/Barbara_Atkinson,2015-01-01 00:00:00,Barbara Atkinson,88,British,actress,
1,"Staryl C. Austin, 94, American air force brigadier general.[2]",https://en.wikipedia.org/wiki/Staryl_C._Austin,2015-01-01 00:00:00,Staryl C. Austin,94,American,air force brigadier general,
2,"Ulrich Beck, 70, German sociologist, heart attack.[3]",https://en.wikipedia.org/wiki/Ulrich_Beck,2015-01-01 00:00:00,Ulrich Beck,70,German,sociologist,heart attack
3,"Fiona Cumming, 77, British television director (Doctor Who).[4]",https://en.wikipedia.org/wiki/Fiona_Cumming,2015-01-01 00:00:00,Fiona Cumming,77,British,television director,
4,"Eric Cunningham, 65, Canadian politician, Ontario MPP for Wentworth North (1975–1984).[5]",https://en.wikipedia.org/wiki/Eric_Cunningham,2015-01-01 00:00:00,Eric Cunningham,65,Canadian,politician,
5,"Mario Cuomo, 82, American politician, Governor of New York (1983–1994), heart failure.[6]",https://en.wikipedia.org/wiki/Mario_Cuomo,2015-01-01 00:00:00,Mario Cuomo,82,American,politician,heart failure
6,"Donna Douglas, 82, American actress (The Beverly Hillbillies, Frankie and Johnny, The Twilight Zone), pancreatic cancer.[7]",https://en.wikipedia.org/wiki/Donna_Douglas,2015-01-01 00:00:00,Donna Douglas,82,American,actress,pancreatic cancer
7,"Matthew Franjola, 72, American journalist (Associated Press) and photographer.[8]",https://en.wikipedia.org/wiki/Matthew_Franjola,2015-01-01 00:00:00,Matthew Franjola,72,American,journalist and photographer,
8,"Jeff Golub, 59, American guitarist, progressive supranuclear palsy.[9]",https://en.wikipedia.org/wiki/Jeff_Golub,2015-01-01 00:00:00,Jeff Golub,59,American,guitarist,progressive supranuclear palsy
9,"Omar Karami, 80, Lebanese politician, Prime Minister (1990–1992, 2004–2005).[10]",https://en.wikipedia.org/wiki/Omar_Karami,2015-01-01 00:00:00,Omar Karami,80,Lebanese,politician,
10,"Bill Keating, 70, American football player (Denver Broncos, Miami Dolphins) and attorney.[11]",https://en.wikipedia.org/wiki/Bill_Keating_(American_football),2015-01-01 00:00:00,Bill Keating,70,American,football player and attorney,
11,"Tore Helge Larsen, 69, Norwegian harness racer.[12]",https://en.wikipedia.org/wiki/Tore_Helge_Larsen,2015-01-01 00:00:00,Tore Helge Larsen,69,Norwegian,harness racer,
12,"Géry Leuliet, 104, French Roman Catholic prelate, world's oldest Catholic bishop, Bishop of Amiens (1963–1985).[13]",https://en.wikipedia.org/wiki/G%C3%A9ry_Leuliet,2015-01-01 00:00:00,Géry Leuliet,104,French,Roman Catholic prelate,
13,"Boris Morukov, 64, Russian physician and cosmonaut, STS-106 mission specialist.[14]",https://en.wikipedia.org/wiki/Boris_Morukov,2015-01-01 00:00:00,Boris Morukov,64,Russian,physician and cosmonaut,
14,"Kjell Noreik, 85, Norwegian physician.[15]",https://en.wikipedia.org/wiki/Kjell_Noreik,2015-01-01 00:00:00,Kjell Noreik,85,Norwegian,physician,
15,"Mrunalini Devi Puar, 83, Indian educator, Chancellor of the Maharaja Sayajirao University of Baroda (since 1988).[16]",https://en.wikipedia.org/wiki/Mrunalini_Devi_Puar,2015-01-01 00:00:00,Mrunalini Devi Puar,83,Indian,educator,
16,"Ninón Sevilla, 93, Cuban-born Mexican actress (Aventurera), heart attack.[17]",https://en.wikipedia.org/wiki/Nin%C3%B3n_Sevilla,2015-01-01 00:00:00,Ninón Sevilla,93,Cuban-born Mexican,actress,heart attack
17,"William Lloyd Standish, 84, American federal judge, District Court Judge for the Western District of Pennsylvania (1987–2002).[18]",https://en.wikipedia.org/wiki/William_Lloyd_Standish,2015-01-01 00:00:00,William Lloyd Standish,84,American,federal judge,
18,"Manasa Vaniqi, 62, Fijian civil servant and lieutenant colonel, Permanent Secretary for Sugar (since 2009).[19]",https://en.wikipedia.org/wiki/Manasa_Vaniqi,2015-01-01 00:00:00,Manasa Vaniqi,62,Fijian,civil servant and lieutenant colonel,
19,"Miller Williams, 84, American poet, Alzheimer's disease.[20]",https://en.wikipedia.org/wiki/Miller_Williams,2015-01-01 00:00:00,Miller Williams,84,American,poet,Alzheimer's disease
20,"Per-Olof Åstrand, 92, Swedish physiologist.[21]",https://en.wikipedia.org/wiki/Per-Olof_%C3%85strand,2015-01-02 00:00:00,Per-Olof Åstrand,92,Swedish,physiologist,
21,"James A. Barlow, 91, American politician, member of the Wyoming House of Representatives (1983–1987).[22]",https://en.wikipedia.org/wiki/James_A._Barlow,2015-01-02 00:00:00,James A. Barlow,91,American,politician,
22,"Charles Baur, 85, French politician, President of the Regional Council of Picardy (1976–1978, 1985–2004).[23]",https://en.wikipedia.org/wiki/Charles_Baur,2015-01-02 00:00:00,Charles Baur,85,French,politician,
23,"Noel Cobb, 76, American-born British philosopher, psychologist and author.[24]",https://en.wikipedia.org/wiki/Noel_Cobb,2015-01-02 00:00:00,Noel Cobb,76,American-born British,philosopher,
24,"Little Jimmy Dickens, 94, American country music singer (""May the Bird of Paradise Fly Up Your Nose""), cardiac arrest.[25]",https://en.wikipedia.org/wiki/Little_Jimmy_Dickens,2015-01-02 00:00:00,Little Jimmy Dickens,94,American,country music singer,cardiac arrest
25,"Baldina Di Vittorio, 94, Italian politician.[26]",https://en.wikipedia.org/wiki/Baldina_Di_Vittorio,2015-01-02 00:00:00,Baldina Di Vittorio,94,Italian,politician,
26,"Danny Dunton, 90, English speedway rider and promoter.[27]",https://en.wikipedia.org/wiki/Danny_Dunton,2015-01-02 00:00:00,Danny Dunton,90,English,speedway rider and promoter,
27,"Maurice Fontaine, 95, French politician.[28]",https://en.wikipedia.org/wiki/Maurice_Fontaine,2015-01-02 00:00:00,Maurice Fontaine,95,French,politician,
28,"Bob Gilmore, 53, British musicologist.[29]",https://en.wikipedia.org/wiki/Bob_Gilmore,2015-01-02 00:00:00,Bob Gilmore,53,British,musicologist,
29,"Vasant Gowarikar, 81, Indian scientist and ISRO chairman, dengue and urinary tract infection.[30]",https://en.wikipedia.org/wiki/Vasant_Gowarikar,2015-01-02 00:00:00,Vasant Gowarikar,81,Indian,scientist and ISRO chairman,dengue and urinary tract infection
30,"Basil Hansen, 88, Australian Olympic ice hockey player (1960).[31]",https://en.wikipedia.org/wiki/Basil_Hansen,2015-01-02 00:00:00,Basil Hansen,88,Australian,Olympic ice hockey player,
