id,text,url,death_date,name,age,nationality,cause,description,votes,sortorder,article_length,versions,editors,inbound_links
0,"Barbara Atkinson, 88, British actress (Z-Cars).[1]",https://en.wikipedia.org/wiki/Barbara_Atkinson,2015-01-01 00:00:00,Barbara Atkinson,88.0,British,, actress (Z-Cars),0,0,1605,23,15,14
1,"Staryl C. Austin, 94, American air force brigadier general.[2]",https://en.wikipedia.org/wiki/Staryl_C._Austin,2015-01-01 00:00:00,Staryl C. Austin,94.0,American,, air force brigadier general,0,0,6073,94,9,18
2,"Ulrich Beck, 70, German sociologist, heart attack.[3]",https://en.wikipedia.org/wiki/Ulrich_Beck,2015-01-01 00:00:00,Ulrich Beck,70.0,German,heart attack, sociologist,0,0,6430,294,162,250
3,"Fiona Cumming, 77, British television director (Doctor Who).[4]",https://en.wikipedia.org/wiki/Fiona_Cumming,2015-01-01 00:00:00,Fiona Cumming,77.0,British,, television director (Doctor Who),0,0,3623,14,8,34
4,"Eric Cunningham, 65, Canadian politician, Ontario MPP for Wentworth North (1975–1984).[5]",https://en.wikipedia.org/wiki/Eric_Cunningham,2015-01-01 00:00:00,Eric Cunningham,65.0,Canadian,," politician, Ontario MPP for Wentworth North (1975–1984)",0,0,1826,39,31,25
5,"Mario Cuomo, 82, American politician, Governor of New York (1983–1994), heart failure.[6]",https://en.wikipedia.org/wiki/Mario_Cuomo,2015-01-01 00:00:00,Mario Cuomo,82.0,American,heart failure, politician Governor of New York (1983–1994),3,32,27059,951,520,741
6,"Donna Douglas, 82, American actress (The Beverly Hillbillies, Frankie and Johnny, The Twilight Zone), pancreatic cancer.[7]",https://en.wikipedia.org/wiki/Donna_Douglas,2015-01-01 00:00:00,Donna Douglas,82.0,American,pancreatic cancer, actress (The Beverly Hillbillies Frankie and Johnny The Twilight Zone),0,0,9356,927,402,121
7,"Matthew Franjola, 72, American journalist (Associated Press) and photographer.[8]",https://en.wikipedia.org/wiki/Matthew_Franjola,2015-01-01 00:00:00,Matthew Franjola,72.0,American,, journalist (Associated Press) and photographer,0,0,1442,4,3,5
8,"Jeff Golub, 59, American guitarist, progressive supranuclear palsy.[9]",https://en.wikipedia.org/wiki/Jeff_Golub,2015-01-01 00:00:00,Jeff Golub,59.0,American,progressive supranuclear palsy, guitarist,0,0,1991,105,66,71
9,"Omar Karami, 80, Lebanese politician, Prime Minister (1990–1992, 2004–2005).[10]",https://en.wikipedia.org/wiki/Omar_Karami,2015-01-01 00:00:00,Omar Karami,80.0,Lebanese,," politician, Prime Minister (1990–1992, 2004–2005)",0,0,2697,233,135,122
10,"Bill Keating, 70, American football player (Denver Broncos, Miami Dolphins) and attorney.[11]",https://en.wikipedia.org/wiki/Bill_Keating_(American_football),2015-01-01 00:00:00,Bill Keating,70.0,American,," football player (Denver Broncos, Miami Dolphins) and attorney",0,0,1537,31,18,16
11,"Tore Helge Larsen, 69, Norwegian harness racer.[12]",https://en.wikipedia.org/wiki/Tore_Helge_Larsen,2015-01-01 00:00:00,Tore Helge Larsen,69.0,Norwegian,, harness racer,0,0,239,4,4,5
12,"Géry Leuliet, 104, French Roman Catholic prelate, world's oldest Catholic bishop, Bishop of Amiens (1963–1985).[13]",https://en.wikipedia.org/wiki/G%C3%A9ry_Leuliet,2015-01-01 00:00:00,Géry Leuliet,104.0,French,," Roman Catholic prelate, world's oldest Catholic bishop, Bishop of Amiens (1963–1985)",0,0,712,63,44,15
13,"Boris Morukov, 64, Russian physician and cosmonaut, STS-106 mission specialist.[14]",https://en.wikipedia.org/wiki/Boris_Morukov,2015-01-01 00:00:00,Boris Morukov,64.0,Russian,," physician and cosmonaut, STS-106 mission specialist",0,0,3719,80,61,36
14,"Kjell Noreik, 85, Norwegian physician.[15]",https://en.wikipedia.org/wiki/Kjell_Noreik,2015-01-01 00:00:00,Kjell Noreik,85.0,Norwegian,, physician,0,0,341,6,6,7
15,"Mrunalini Devi Puar, 83, Indian educator, Chancellor of the Maharaja Sayajirao University of Baroda (since 1988).[16]",https://en.wikipedia.org/wiki/Mrunalini_Devi_Puar,2015-01-01 00:00:00,Mrunalini Devi Puar,83.0,Indian,," educator, Chancellor of the Maharaja Sayajirao University of Baroda (since 1988)",0,0,738,26,10,16
