name,selected_by,sortorder
Ted Marchibroda,1,1
Arnold Palmer,1,2
Natalie Cole,1,3
Marni Nixon,1,4
Clifford Vaughs,4,5
George Clayton Johnson,1,6
Gordie Howe,1,7
Stuart Scott,1,8
Johan Cruyff,1,9
Moses Malone,1,10
Patty Duke,1,11
Billy Pierce,2,12
Buddy Cianci,1,13
Antonin Scalia,1,14
Robert Black,2,15
Buckwheat Zydeco,1,16
Natalie Babbitt,1,17
Gene Wilder,1,18
John Saunders,1,19
Sarah Brady,1,20
Mike Oxley,1,21
Ken Stabler,1,22
Beau Biden,1,23
Malcolm Fraser,1,24
Scott Weiland,1,25
Dario Fo,1,26
Sir Peter Shaffer,1,27
Lizabeth Scott,2,28
Garry Shandling,1,29
Oliver Sacks,1,30
Abe Vigoda,1,31
B. K. Garudachar,5,32
Umberto Eco,1,33
Rolf Smedvig,5,34
David Bowie,1,35
Caroline Aherne,1,36
Rob Ford,1,37
Jackie Collins,1,38
Flip Saunders,1,39
Knut Helle,4,40
Steven Hill,5,41
Michael Cimino,1,42
Jim Perry,1,43
Pierre Boulez,2,44
Don Battye,5,45
Zhang Zhen,5,46
William E. Boeing Jr.,1,47
Ray Charles,1,48
"John Douglas, 21st Earl of Morton",5,49
Yogi Berra,1,50
Imre Kertész,1,51
Pat Summitt,1,52
Samuel Goldwyn Jr.,1,53
Joe Garagiola Sr.,1,54
Nancy Reagan,1,55
João Havelange,1,56
Camille Muffat,1,57
Brian Smyth,5,58
Wes Craven,1,59
Miss Cleo (Youree Dell Harris),1,60
Doug Cunningham,5,61
Buddy Ryan,1,62
Islam Karimov,1,63
Lothar Späth,1,64
Toots Thielemans,1,65
Pat Conroy,1,66
Sir Terry Pratchett,3,67
Phyllis Schlafly,1,68
Wayne Dyer,1,69
Fred Thompson,1,70
Blaze Starr,1,71
Milt Pappas,1,72
Guido Altarelli,5,73
Amber Rayne,1,74
E. L. Doctorow,1,75
Sam Simon,1,76
Joy Browne,1,77
Sir George Martin,3,78
Prince,1,79
Guido Westerwelle,1,80
Omar Sharif,1,81
Ruth Rendell,1,82
Harve Bennett,1,83
Dusty Rhodes,3,84
Dennis Byrd,1,85
Nachum Heiman,4,86
Sandy Berger,1,87
"Howard A. Anderson, Jr.",1,88
The Lady Chablis,1,89
Kenny Baker,1,90
Fabiane Niclotti,5,91
Pete Burns,3,92
Dale Bumpers,1,93
Vilmos Zsigmond,1,94
Colleen McCullough,1,95
Alan Nunnelee,1,96
Chyna,1,97
Alvin Toffler,1,98
Roland Mqwebu,5,99
James M. Nederlander,1,100
Paul Webley,5,101
Mario Cuomo,1,102
Kimbo Slice,1,103
Ann Rule,1,104
Janet Waldo,1,105
Shimon Peres,1,106
Dick Wathika,5,107
B.B. King,1,108
Paul Couch,1,109
Anton Yelchin,1,110
Grace Lee Whitney,1,111
Christina Grimmie,1,112
Boutros Boutros-Ghali,1,113
Leonard Nimoy,1,114
Carl Djerassi,1,115
Edward Albee,1,116
Lonnie Mack,3,117
John Reinhardt,5,118
Randy Bennett,5,119
Tony Barrow,4,120
Gaylord Shaw,5,121
Lee Kuan Yew,1,122
John McLaughlin,1,123
Thomas W. Libous,5,124
Lou Pearlman,1,125
Shawty Lo,1,126
Elie Wiesel,1,127
Dick Van Patten,1,128
Günter Grass,1,129
Will Smith,1,130
LaVoy Finicum,1,131
Percy Sledge,1,132
Jacques Rivette,2,133
Conrad Burns,1,134
Garry Marshall,1,135
Steve Mokone,5,136
Cilla Black,3,137
Gene Amdahl,1,138
Dean Smith,1,139
Charles Kennedy,1,140
Abbas Kiarostami,3,141
"Frank Sinatra, Jr.",1,142
Arthur Morris,2,143
Paul Prudhomme,1,144
A. P. J. Abdul Kalam,3,145
Walter Schuck,4,146
Ernst Nolte,2,147
Nimr al-Nimr,1,148
Bob Simon,1,149
Robert H. Schuller,1,150
George Voinovich,1,151
Herbert Scarf,2,152
Tim LaHaye,1,153
Julian Bond,1,154
Qandeel Baloch,1,155
Jack Chick,3,156
Val Logsdon Fitch,4,157
Sylvia Anderson,1,158
Maureen O'Hara,1,159
Sir Christopher Lee,1,160
Merle Haggard,1,161
Edgar Mitchell,1,162
Solomon W. Golomb,1,163
"Earl Hamner, Jr.",1,164
Morley Safer,1,165
"John Forbes Nash, Jr.",1,166
Abdullah of Saudi Arabia,1,167
Sir Terry Wogan,1,168
William Schallert,1,169
Phife Dawg,1,170
Harry Merlo,4,171
Bhumibol Adulyadej,2,172
Ben E. King,1,173
Árpád Göncz,2,174
Freddie Gray,1,175
Glenn Frey,1,176
James Horner,3,177
Garo Yepremian,1,178
Jeralean Talley,1,179
Keith Emerson,1,180
Bhalchandra Pendharkar,5,181
Lemmy,1,182
Charb,1,183
Roddy Piper,1,184
Antonín Rükl,4,185
Charles H. Townes,4,186
Tariq Aziz,1,187
Dave Mirra,1,188
Thanh Tùng,5,189
Alan Rickman,1,190
Ed Sabol,1,191
Frank Gifford,1,192
Harper Lee,1,193
Mother Angelica,1,194
Darryl Dawkins,1,195
Lawrence Phillips,1,196
Ernie Banks,4,197
Chuck Bednarik,1,198
Muhammad Ali,1,199
Ken Howard,1,200
