id,name,description,selected_by,sortorder
0,Mario Cuomo, politician Governor of New York (1983–1994),1,101
1,Stuart Scott, sports journalist (SportsCenter),1,7
2,Charb,caricaturist and journalist,1,182
3,William E. Boeing Jr., businessman,1,46
4,Samuel Goldwyn Jr., film producer (The Secret Life of Walter Mitty Master and Commander: The Far Side of the World),1,52
5,Doug Cunningham," football player (Ole Miss Rebels, San Francisco 49ers)",5,60
6,Abdullah of Saudi Arabia, royal King (since 2005),1,166
7,Ernie Banks, Hall of Fame baseball player (Chicago Cubs),4,196
8,Charles H. Townes," physicist, Nobel Prize laureate in Physics (1964)",4,185
9,Colleen McCullough, author (The Thorn Birds),1,94
10,Carl Djerassi, chemist novelist and playwright,1,114
11,Lizabeth Scott, actress (Dead Reckoning),2,27
12,Val Logsdon Fitch, Nobel Prize-winning physicist (1980),4,156
13,Alan Nunnelee, politician member of the U.S. House of Representatives from Mississippi (since 2011),1,95
14,Dean Smith, Hall of Fame basketball coach (North Carolina),1,138
15,Ed Sabol," filmmaker, founder of NFL Films",1,190
16,Bob Simon, television journalist (60 Minutes),1,148
17,Harve Bennett," producer and writer (Star Trek, The Six Million Dollar Man, The Mod Squad)",1,82
18,Leonard Nimoy, actor and director (Star Trek Mission: Impossible Fringe),1,113
19,Sam Simon, writer producer and director (The Simpsons Cheers The Drew Carey Show),1,75
20,Camille Muffat,"swimmer, Olympic gold medalist (2012)",1,56
21,Sir Terry Pratchett, author (Discworld),3,66
22,Steve Mokone, footballer (Heracles Almelo),5,135
23,Malcolm Fraser," politician, Prime Minister (1975–1983)",1,23
24,Chuck Bednarik, NFL Hall of Fame football player (Philadelphia Eagles),1,197
25,Lee Kuan Yew, politician Prime Minister (1959–1990),1,121
26,Walter Schuck, WWII fighter ace,4,145
27,Robert H. Schuller, televangelist (Hour of Power),1,149
28,Sarah Brady, gun control campaigner,1,19
29,Ray Charles, musician (The Perry Como Show The Muppet Show),1,47
30,Günter Grass, novelist (The Tin Drum) Nobel Prize laureate in Literature (1999),1,128
31,Percy Sledge," R&B singer (""When a Man Loves a Woman"")",1,131
32,Freddie Gray, police suspect,1,174
