id,name,description,votes,sortorder
0,Mario Cuomo, politician Governor of New York (1983–1994),3,32
1,Stuart Scott, sports journalist (SportsCenter),1,106
2,Charb,caricaturist and journalist,1,113
3,William E. Boeing Jr., businessman,2,61
4,Samuel Goldwyn Jr., film producer (The Secret Life of Walter Mitty Master and Commander: The Far Side of the World),2,6
5,Abdullah of Saudi Arabia, royal King (since 2005),1,22
6,Colleen McCullough, author (The Thorn Birds),3,37
7,Carl Djerassi, chemist novelist and playwright,1,35
8,Alan Nunnelee, politician member of the U.S. House of Representatives from Mississippi (since 2011),1,100
9,Dean Smith, Hall of Fame basketball coach (North Carolina),1,56
10,Ed Sabol," filmmaker, founder of NFL Films",1,155
11,Bob Simon, television journalist (60 Minutes),2,142
12,Jerry Tarkanian," Hall of Fame basketball coach (Long Beach State, UNLV, San Antonio Spurs, Fresno State)",1,58
13,Harve Bennett," producer and writer (Star Trek, The Six Million Dollar Man, The Mod Squad)",1,3
14,Leonard Nimoy, actor and director (Star Trek Mission: Impossible Fringe),4,25
15,Sam Simon, writer producer and director (The Simpsons Cheers The Drew Carey Show),2,79
16,Camille Muffat,"swimmer, Olympic gold medalist (2012)",1,87
17,Malcolm Fraser," politician, Prime Minister (1975–1983)",1,13
18,Chuck Bednarik, NFL Hall of Fame football player (Philadelphia Eagles),2,4
19,Lee Kuan Yew, politician Prime Minister (1959–1990),1,89
20,Robert H. Schuller, televangelist (Hour of Power),1,153
21,Sarah Brady, gun control campaigner,2,14
22,Ray Charles, musician (The Perry Como Show The Muppet Show),4,131
23,Günter Grass, novelist (The Tin Drum) Nobel Prize laureate in Literature (1999),4,121
24,Percy Sledge," R&B singer (""When a Man Loves a Woman"")",3,36
25,Freddie Gray, police suspect,4,7
26,Ben E. King," soul and R&B singer (""Stand by Me"")",3,62
27,Grace Lee Whitney," actress (Star Trek, Irma la Douce, Some Like It Hot)",2,143
28,Ruth Rendell, crime novelist (Inspector Wexford),2,108
29,B.B. King," Hall of Fame blues guitarist singer and songwriter (""The Thrill Is Gone"")",3,72
30,Garo Yepremian, football player (Miami Dolphins),1,105
31,"John Forbes Nash, Jr.", mathematician laureate of the Nobel Prize in Economics (1994) subject of A Beautiful Mind,1,19
32,Beau Biden, politician Attorney General of Delaware (2007–2015),3,15
33,Charles Kennedy, politician Leader of the Liberal Democrats (1999–2006) MP (1983–2015),1,132
34,Tariq Aziz, politician Foreign Minister (1983–1991),1,124
35,Sir Christopher Lee, actor voice artist and singer (Dracula The Lord of the Rings Star Wars),4,103
36,Dusty Rhodes, professional wrestler booker (NWA WCW WWE) and promoter (TCW) Hall of Fame (2007 2010),2,16
37,Blaze Starr," stripper, burlesque comedian and club owner, subject of Blaze",2,59
38,Jeralean Talley," supercentenarian, world's oldest living person",1,50
39,Dick Van Patten, actor (Eight Is Enough Spaceballs Robin Hood: Men in Tights),3,123
40,Ken Stabler, football player (Oakland Raiders),1,29
41,Omar Sharif, actor (Lawrence of Arabia Doctor Zhivago Funny Girl),4,148
42,E. L. Doctorow, author (Ragtime Billy Bathgate The March),4,17
43,Ann Rule, true crime author (The Stranger Beside Me),3,39
44,Roddy Piper," professional wrestler (WWE, NWA, WCW) and actor (They Live, Hell Comes to Frogtown, Body Slam), hypertension",3,26
45,Frank Gifford, Hall of Fame football player (New York Giants) and broadcaster (Monday Night Football),3,138
46,Julian Bond, civil rights activist and politician chairman of the NAACP (1998–2010),1,76
47,Darryl Dawkins, basketball player (Philadelphia 76ers New Jersey Nets),1,90
48,Wayne Dyer, self-help author and motivational speaker,1,9
49,Wes Craven, film director writer and producer (A Nightmare on Elm Street Scream The Hills Have Eyes),4,98
50,Oliver Sacks, neurologist and author (The Man Who Mistook His Wife for a Hat Awakenings Hallucinations),4,81
51,Moses Malone, Hall of Fame basketball player (Philadelphia 76ers Houston Rockets),2,128
52,Jackie Collins, novelist,4,10
53,Yogi Berra," Hall of Fame baseball player and manager (New York Yankees, New York Mets), member of 13 World Series championship teams",3,125
54,"Howard A. Anderson, Jr."," visual effects artist (Star Trek: The Original Series, Tobruk) and title designer (The Brady Bunch)",1,80
55,Paul Prudhomme," chef, cookbook writer and restaurateur, recipient of the Order of Agricultural Merit (1980)",2,51
56,Maureen O'Hara," actress (How Green Was My Valley, Miracle on 34th Street, The Quiet Man)",4,1
57,Flip Saunders, basketball coach (Detroit Pistons Washington Wizards Minnesota Timberwolves),2,112
58,Fred Thompson, politician and actor (Law & Order Sinister Cape Fear) U.S. Senator from Tennessee (1994–2003) minority counsel to the Senate Watergate Committee,3,135
59,Gene Amdahl, computer architect and high-tech entrepreneur,1,30
60,Jim Perry, television emcee (Definition Card Sharks $ale of the Century),1,126
61,Sandy Berger, political consultant United States National Security Advisor (1997–2001),2,49
62,Scott Weiland, musician (Stone Temple Pilots Velvet Revolver The Wondergirls),2,70
63,George Clayton Johnson, writer (Logan's Run Ocean's 11 The Twilight Zone),1,20
64,Lemmy, rock musician (Motörhead Hawkwind),2,63
65,Natalie Cole," Grammy-winning singer (""This Will Be"" ""Sophisticated Lady"" Unforgettable... with Love) and actress",4,74
66,Dale Bumpers," politician, Governor of Arkansas (1971–1975), Senator from Arkansas (1975–1999)",1,33
67,Mike Oxley, politician member of the United States House of Representatives from Ohio's 4th congressional district (1981–2007),1,31
68,Vilmos Zsigmond," cinematographer (Close Encounters of the Third Kind, The Deer Hunter, The Black Dahlia), Oscar winner (1978)",2,102
